Entity_A,Entity_B,Type,Score
GLT1,GGT3,protein-protein,0.84
GLT1,GAD4,protein-protein,0.929
GGT3,GAD4,protein-protein,0.686
AK3,GAD4,protein-protein,0.478
AK3,LKR/SDH,protein-protein,0.849
AK3,AKHSDH1,protein-protein,0.907
ALDH10A8,SDH1-2,protein-protein,0.682
ALDH10A8,ALDH7B4,protein-protein,0.933
AKHSDH1,NAGK,protein-protein,0.501
AKHSDH1,LKR/SDH,protein-protein,0.6
ALDH5F1,GAD4,protein-protein,0.583
ALDH5F1,SDH1-2,protein-protein,0.618
NAGK,GAD4,protein-protein,0.646
LKR/SDH,GAD4,protein-protein,0.458
LKR/SDH,ALDH7B4,protein-protein,0.962
ALDH2B4,SDH1-2,protein-protein,0.603
ALDH2B4,GAD4,protein-protein,0.733
ALDH2B4,ALDH7B4,protein-protein,0.942
ALDH7B4,SDH1-2,protein-protein,0.603
ALDH7B4,GAD4,protein-protein,0.733
GAD4,SDH1-2,protein-protein,0.405
NAGS2,AGT2,protein-protein,0.442
NAGS2,ARGAH1,protein-protein,0.508
NAGS2,AK2,protein-protein,0.519
NAGS2,AK3,protein-protein,0.519
NAGS2,LYSA1,protein-protein,0.705
NAGS2,LYSA2,protein-protein,0.718
NAGS2,GGAT2,protein-protein,0.915
NAGS2,ALAAT2,protein-protein,0.915
NAGS2,NAGK,protein-protein,0.923
NAGS2,OTC,protein-protein,0.959
ACS,L2HGDH,protein-protein,0.468
ACS,POX2,protein-protein,0.496
ACS,ALDH10A8,protein-protein,0.638
ACS,ALDH2C4,protein-protein,0.648
ACS,ALDH5F1,protein-protein,0.655
ACS,AGT2,protein-protein,0.837
ACS,ALDH6B2,protein-protein,0.914
ACS,BCE2,protein-protein,0.936
ACS,ALDH7B4,protein-protein,0.955
ACS,ACX2,protein-protein,0.959
ACS,ACX3.2,protein-protein,0.959
ACS,ACX4,protein-protein,0.959
ACS,ACX3,protein-protein,0.96
ACS,ALDH3I1,protein-protein,0.961
ACS,ALDH3F1,protein-protein,0.963
ACS,ALDH2B4,protein-protein,0.965
ACS,ACX1,protein-protein,0.965
ACS,ALDH3H1,protein-protein,0.968
SHM4,ALDH3I1,protein-protein,0.403
SHM4,ALDH3F1,protein-protein,0.403
SHM4,HSK,protein-protein,0.403
SHM4,ALDH2C4,protein-protein,0.406
SHM4,ALDH2B4,protein-protein,0.406
SHM4,ALDH5F1,protein-protein,0.413
SHM4,PPC1,protein-protein,0.414
SHM4,PPC3,protein-protein,0.434
SHM4,ALAAT2,protein-protein,0.468
SHM4,LYSA1,protein-protein,0.47
SHM4,LYSA2,protein-protein,0.474
SHM4,AK3,protein-protein,0.491
SHM4,AK2,protein-protein,0.499
SHM4,BCE2,protein-protein,0.513
SHM4,ALDH7B4,protein-protein,0.552
SHM4,HPR,protein-protein,0.559
SHM4,ALDH10A8,protein-protein,0.586
SHM4,SHM7,protein-protein,0.617
SHM4,SHM3,protein-protein,0.623
SHM4,SHM2,protein-protein,0.642
SHM4,AGT2,protein-protein,0.695
SHM4,THA1,protein-protein,0.933
SHM4,GGAT2,protein-protein,0.943
SHM4,OMR1,protein-protein,0.961
SHM4,AGT1,protein-protein,0.976
AK2,SHM7,protein-protein,0.461
AK2,HPR,protein-protein,0.472
AK2,SHM2,protein-protein,0.477
AK2,PAHX,protein-protein,0.478
AK2,BCAT5,protein-protein,0.487
AK2,GGAT2,protein-protein,0.512
AK2,SHM3,protein-protein,0.534
AK2,ALAAT2,protein-protein,0.679
AK2,THA1,protein-protein,0.717
AK2,AGT1,protein-protein,0.768
AK2,LYSA1,protein-protein,0.849
AK2,OMR1,protein-protein,0.876
AK2,LYSA2,protein-protein,0.9
AK2,HSK,protein-protein,0.984
GLO5,ACX1,protein-protein,0.409
GLO5,ALDH2C4,protein-protein,0.47
GLO5,ALDH3I1,protein-protein,0.47
GLO5,ALDH5F1,protein-protein,0.47
GLO5,ALDH2B4,protein-protein,0.47
GLO5,ALDH3F1,protein-protein,0.47
GLO5,ALDH10A8,protein-protein,0.47
GLO5,ALDH3H1,protein-protein,0.487
GLO5,ALDH7B4,protein-protein,0.491
GLO5,AGT2,protein-protein,0.681
GLO5,GLO4,protein-protein,0.904
GLO5,HPR3,protein-protein,0.926
GLO5,GLYR1,protein-protein,0.931
GLO5,HPR,protein-protein,0.967
GLO5,AGT1,protein-protein,0.97
GLO5,GGAT2,protein-protein,0.971
OTC,FUM1,protein-protein,0.414
OTC,FUM2,protein-protein,0.414
OTC,THA1,protein-protein,0.415
OTC,GAD4,protein-protein,0.419
OTC,ALDH3H1,protein-protein,0.431
OTC,ALDH2C4,protein-protein,0.431
OTC,ALDH7B4,protein-protein,0.431
OTC,ALDH3I1,protein-protein,0.431
OTC,ALDH5F1,protein-protein,0.431
OTC,ALDH2B4,protein-protein,0.441
OTC,ALDH3F1,protein-protein,0.443
OTC,ALDH10A8,protein-protein,0.456
OTC,AGT2,protein-protein,0.494
OTC,BCE2,protein-protein,0.518
OTC,AGT1,protein-protein,0.537
OTC,ALDH6B2,protein-protein,0.537
OTC,HGO,protein-protein,0.563
OTC,LYSA1,protein-protein,0.568
OTC,LKR/SDH,protein-protein,0.619
OTC,OMR1,protein-protein,0.623
OTC,LYSA2,protein-protein,0.64
OTC,NAGK,protein-protein,0.972
OTC,ARGAH1,protein-protein,0.995
ACX2,HGO,protein-protein,0.425
ACX2,ALDH10A8,protein-protein,0.454
ACX2,ALDH5F1,protein-protein,0.454
ACX2,ALDH2C4,protein-protein,0.454
ACX2,AGT1,protein-protein,0.466
ACX2,PAHX,protein-protein,0.614
ACX2,AGT2,protein-protein,0.637
ACX2,ALDH3I1,protein-protein,0.798
ACX2,ALDH2B4,protein-protein,0.802
ACX2,ALDH7B4,protein-protein,0.803
ACX2,ALDH3F1,protein-protein,0.83
ACX2,ALDH3H1,protein-protein,0.872
ACX2,ACX3.2,protein-protein,0.912
ACX2,ALDH6B2,protein-protein,0.931
ACX2,ACX4,protein-protein,0.939
ACX2,BCE2,protein-protein,0.944
ACX2,ACX3,protein-protein,0.957
ACX2,ACX1,protein-protein,0.972
ACX1,ALDH10A8,protein-protein,0.486
ACX1,ALDH5F1,protein-protein,0.504
ACX1,ALDH2C4,protein-protein,0.512
ACX1,PAHX,protein-protein,0.579
ACX1,AGT1,protein-protein,0.635
ACX1,AGT2,protein-protein,0.638
ACX1,ALDH7B4,protein-protein,0.829
ACX1,ALDH3I1,protein-protein,0.836
ACX1,ALDH2B4,protein-protein,0.845
ACX1,ALDH3F1,protein-protein,0.848
ACX1,ALDH3H1,protein-protein,0.859
ACX1,ALDH6B2,protein-protein,0.936
ACX1,BCE2,protein-protein,0.942
ACX1,ACX4,protein-protein,0.953
ACX1,ACX3.2,protein-protein,0.967
ACX1,ACX3,protein-protein,0.972
AKHSDH2,THA1,protein-protein,0.496
AKHSDH2,GGAT2,protein-protein,0.521
AKHSDH2,ALAAT2,protein-protein,0.629
AKHSDH2,AGT1,protein-protein,0.737
AKHSDH2,LYSA2,protein-protein,0.789
AKHSDH2,LYSA1,protein-protein,0.789
AKHSDH2,BCAT5,protein-protein,0.878
AKHSDH2,OMR1,protein-protein,0.895
AKHSDH2,HSK,protein-protein,0.998
ACX3,AGT1,protein-protein,0.442
ACX3,ALDH10A8,protein-protein,0.454
ACX3,ALDH5F1,protein-protein,0.454
ACX3,ALDH2C4,protein-protein,0.482
ACX3,PAHX,protein-protein,0.612
ACX3,LPEAT1,protein-protein,0.641
ACX3,AGT2,protein-protein,0.708
ACX3,ALDH7B4,protein-protein,0.773
ACX3,ALDH2B4,protein-protein,0.788
ACX3,ALDH3F1,protein-protein,0.804
ACX3,ALDH3I1,protein-protein,0.814
ACX3,ALDH3H1,protein-protein,0.851
ACX3,ACX3.2,protein-protein,0.901
ACX3,ACX4,protein-protein,0.925
ACX3,ALDH6B2,protein-protein,0.929
ACX3,BCE2,protein-protein,0.942
NIT4,BCAT5,protein-protein,0.403
NIT4,ARGAH1,protein-protein,0.421
NIT4,AGT1,protein-protein,0.522
GSH1,BCAT5,protein-protein,0.901
ARGAH1,AGT1,protein-protein,0.411
ARGAH1,FDH1,protein-protein,0.412
ARGAH1,ALDH3I1,protein-protein,0.414
ARGAH1,ALDH5F1,protein-protein,0.414
ARGAH1,ALDH3F1,protein-protein,0.414
ARGAH1,ALDH10A8,protein-protein,0.414
ARGAH1,ALDH3H1,protein-protein,0.414
ARGAH1,ALDH7B4,protein-protein,0.418
ARGAH1,NLP3,protein-protein,0.423
