Entity_A,Entity_B,Type,Score
SRP14,RPS4D,protein-protein,0.439
SRP14,RPS15C,protein-protein,0.45
SRP14,RPS17,protein-protein,0.457
SRP14,rps14,protein-protein,0.46
SRP14,RPS15A,protein-protein,0.468
SRP14,RPL11,protein-protein,0.524
SRP14,RPS2B,protein-protein,0.534
SRP14,rps5,protein-protein,0.534
SRP14,OVA3,protein-protein,0.537
SRP14,RPS17A,protein-protein,0.576
SRP14,RPS26A,protein-protein,0.577
SRP14,RPS17D,protein-protein,0.583
SRP14,RPS13,protein-protein,0.604
SRP14,RPS3C,protein-protein,0.617
SRP14,RPS10-2,protein-protein,0.618
SRP14,RPL16,protein-protein,0.621
SRP14,RPS18A,protein-protein,0.63
SRP14,RPS20A,protein-protein,0.63
SRP14,PER7,protein-protein,0.641
SRP14,RPL15,protein-protein,0.641
SRP14,RPS19C,protein-protein,0.641
SRP14,RPL29,protein-protein,0.643
SRP14,RPL10,protein-protein,0.643
SRP14,RPS12C,protein-protein,0.653
SRP14,RPS21C,protein-protein,0.656
SRP14,SCY1,protein-protein,0.662
SRP14,RPS9C,protein-protein,0.668
SRP14,RPS24B,protein-protein,0.669
SRP14,RPL4,protein-protein,0.675
SRP14,HLP,protein-protein,0.686
SRP14,RPL35B,protein-protein,0.689
SRP14,RPL23A,protein-protein,0.704
SRP14,RPS29A,protein-protein,0.717
SRP14,RPL13,protein-protein,0.724
SRP14,RPL5,protein-protein,0.739
SRP14,RPL3B,protein-protein,0.743
SRP14,RPL24,protein-protein,0.748
SRP14,RPL7B,protein-protein,0.749
SRP14,RPL6,protein-protein,0.749
SRP14,RPL14B,protein-protein,0.757
SRP14,RPL7A,protein-protein,0.758
SRP14,RPL13AD,protein-protein,0.806
SRP14,RPL13AC,protein-protein,0.81
SRP14,RPL27AC,protein-protein,0.812
SRP14,RPL37B,protein-protein,0.813
SRP14,RPL13B,protein-protein,0.817
SRP14,RPL19B,protein-protein,0.82
SRP14,RPL37C,protein-protein,0.828
SRP14,RPL28C,protein-protein,0.831
SRP14,RPL36A,protein-protein,0.833
SRP14,RPL28A,protein-protein,0.834
SRP14,RPL35AC,protein-protein,0.838
SRP14,ARP2,protein-protein,0.84
SRP14,ARP1,protein-protein,0.84
SRP14,RPL26A,protein-protein,0.843
SRP14,RPL22B,protein-protein,0.849
SRP14,RPL36B,protein-protein,0.851
SRP14,RPL27B,protein-protein,0.857
SRP14,RPL18B,protein-protein,0.877
SRP14,RPL18A,protein-protein,0.877
SRP14,RPL32A,protein-protein,0.879
SRP14,RPL21A,protein-protein,0.882
SRP14,RPL17B,protein-protein,0.889
SRP14,RPL5A,protein-protein,0.891
SRP14,RPL4A,protein-protein,0.904
SRP14,FFC,protein-protein,0.997
SRP14,SRP19,protein-protein,0.999
RPL5,RAD23B,protein-protein,0.6
RPL5,RUB2,protein-protein,0.6
RPL5,RAD23D,protein-protein,0.6
RPL5,RPS27B,protein-protein,0.619
RPL5,RAD23C,protein-protein,0.626
RPL5,PEL1,protein-protein,0.688
RPL5,SRP19,protein-protein,0.69
RPL5,STT3B,protein-protein,0.734
RPL5,STT3A,protein-protein,0.734
RPL5,SRP9,protein-protein,0.822
RPL5,RPP3B,protein-protein,0.894
RPL5,RPP2D,protein-protein,0.894
RPL5,RPP1A,protein-protein,0.918
RPL5,RPP1B,protein-protein,0.918
RPL18A,RAD23D,protein-protein,0.546
RPL18A,RAD23C,protein-protein,0.546
RPL18A,RAD23B,protein-protein,0.546
RPL18A,FFC,protein-protein,0.59
RPL18A,RUB2,protein-protein,0.604
RPL18A,PEL1,protein-protein,0.699
RPL18A,RPS27B,protein-protein,0.736
RPL18A,SRP19,protein-protein,0.75
RPL18A,STT3B,protein-protein,0.768
RPL18A,STT3A,protein-protein,0.768
RPL18A,SRP9,protein-protein,0.868
RPL18A,RPP2D,protein-protein,0.871
RPL18A,RPP3B,protein-protein,0.871
RPL18A,RPP1B,protein-protein,0.902
RPL18A,RPP1A,protein-protein,0.902
RPL38A,RAD23B,protein-protein,0.697
RPL38A,RAD23C,protein-protein,0.697
RPL38A,RAD23D,protein-protein,0.7
RPL38A,FFC,protein-protein,0.737
RPL38A,RUB2,protein-protein,0.739
RPL38A,RPS27B,protein-protein,0.873
RPL38A,SRP19,protein-protein,0.893
RPL38A,PEL1,protein-protein,0.897
RPL38A,RPP3B,protein-protein,0.986
RPL38A,RPP2D,protein-protein,0.988
RPL38A,RPP1A,protein-protein,0.99
RPL38A,RPP1B,protein-protein,0.99
RPL6,RPS27B,protein-protein,0.589
RPL6,PEL1,protein-protein,0.615
RPL6,SRP19,protein-protein,0.653
RPL6,STT3B,protein-protein,0.701
RPL6,STT3A,protein-protein,0.701
RPL6,SRP9,protein-protein,0.806
RPL6,RPP2D,protein-protein,0.858
RPL6,RPP3B,protein-protein,0.861
RPL6,RPP1A,protein-protein,0.908
RPL6,RPP1B,protein-protein,0.916
RPP1B,LSG1-2,protein-protein,0.4
RPP1B,PEL1,protein-protein,0.414
RPP1B,RPP1A,protein-protein,0.472
RPP1B,RAD23D,protein-protein,0.542
RPP1B,RAD23C,protein-protein,0.542
RPP1B,DSK2B,protein-protein,0.542
RPP1B,RAD23B,protein-protein,0.544
RPP1B,RUB2,protein-protein,0.557
RPP1B,RPS27B,protein-protein,0.665
RPP1B,RPL16,protein-protein,0.718
RPP1B,RPL29,protein-protein,0.762
RPP1B,RPS12,protein-protein,0.766
RPP1B,RPS15C,protein-protein,0.778
RPP1B,RPS15AE,protein-protein,0.786
RPP1B,RPS2B,protein-protein,0.789
RPP1B,SCY1,protein-protein,0.789
RPP1B,rps5,protein-protein,0.792
RPP1B,RPS17,protein-protein,0.794
RPP1B,RPS7,protein-protein,0.798
RPP1B,RPS4D,protein-protein,0.798
RPP1B,RPL4,protein-protein,0.818
RPP1B,OVA3,protein-protein,0.819
RPP1B,RPL35B,protein-protein,0.819
RPP1B,HLP,protein-protein,0.834
RPP1B,RPL11,protein-protein,0.836
RPP1B,RPS3C,protein-protein,0.84
RPP1B,PER7,protein-protein,0.846
RPP1B,RPL15,protein-protein,0.848
RPP1B,RPS15AA,protein-protein,0.849
RPP1B,RPS4B,protein-protein,0.851
RPP1B,RPS13,protein-protein,0.853
RPP1B,RPS17D,protein-protein,0.862
RPP1B,RPL1,protein-protein,0.864
RPP1B,rps14,protein-protein,0.865
RPP1B,RPL13,protein-protein,0.872
RPP1B,RPS9C,protein-protein,0.88
RPP1B,RPL10,protein-protein,0.881
RPP1B,RPS15A,protein-protein,0.881
RPP1B,RPS10-2,protein-protein,0.889
RPP1B,RPS26A,protein-protein,0.89
RPP1B,RPL14B,protein-protein,0.892
RPP1B,RPL3B,protein-protein,0.895
RPP1B,RPP3B,protein-protein,0.9
RPP1B,RPS18A,protein-protein,0.904
RPP1B,RPL24,protein-protein,0.905
RPP1B,RPL19B,protein-protein,0.906
RPP1B,RPL7A,protein-protein,0.906
RPP1B,RPS20A,protein-protein,0.908
RPP1B,RPL35AC,protein-protein,0.916
RPP1B,RPL7B,protein-protein,0.917
RPP1B,RPL37B,protein-protein,0.918
RPP1B,RPL18B,protein-protein,0.921
RPP1B,RPL13AC,protein-protein,0.922
RPP1B,RPL36A,protein-protein,0.924
RPP1B,RPL36B,protein-protein,0.925
RPP1B,RPS19C,protein-protein,0.928
RPP1B,RPL37C,protein-protein,0.928
RPP1B,RPL27AC,protein-protein,0.93
RPP1B,RPS24B,protein-protein,0.94
RPP1B,RPL13B,protein-protein,0.941
RPP1B,RPS21C,protein-protein,0.943
RPP1B,RPL22B,protein-protein,0.945
RPP1B,RPL27B,protein-protein,0.949
RPP1B,RPL28A,protein-protein,0.951
RPP1B,RPL23A,protein-protein,0.955
RPP1B,RPS12C,protein-protein,0.959
RPP1B,RPL4A,protein-protein,0.96
RPP1B,RPS14B,protein-protein,0.964
RPP1B,RPS17A,protein-protein,0.964
RPP1B,RPL5A,protein-protein,0.965
RPP1B,RPL17B,protein-protein,0.965
RPP1B,RPL32A,protein-protein,0.969
RPP1B,RPL21A,protein-protein,0.971
RPP1B,RPL28C,protein-protein,0.977
RPP1B,ARP2,protein-protein,0.981
RPP1B,RPL10AB,protein-protein,0.981
RPP1B,RPL13AD,protein-protein,0.982
RPP1B,RPS29A,protein-protein,0.983
RPP1B,ARP1,protein-protein,0.985
RPP1B,RPL26A,protein-protein,0.986
RPP1B,RPP2D,protein-protein,0.992
RPN2A,ALATS,protein-protein,0.611
RPN2A,APC8,protein-protein,0.693
RPL4,RAD23B,protein-protein,0.454
RPL4,RAD23D,protein-protein,0.454
RPL4,RAD23C,protein-protein,0.474
RPL4,PEL1,protein-protein,0.525
RPL4,SRP19,protein-protein,0.579
RPL4,RPS27B,protein-protein,0.583
RPL4,STT3A,protein-protein,0.62
RPL4,STT3B,protein-protein,0.62
RPL4,SRP9,protein-protein,0.699
RPL4,RPP3B,protein-protein,0.764
RPL4,RPP2D,protein-protein,0.768
RPL4,RPP1A,protein-protein,0.81
E1-BETA-2,OVA3,protein-protein,0.455
RPL35B,FFC,protein-protein,0.481
RPL35B,RAD23C,protein-protein,0.498
RPL35B,RAD23D,protein-protein,0.498
RPL35B,PEL1,protein-protein,0.504
RPL35B,RAD23B,protein-protein,0.512
RPL35B,RUB2,protein-protein,0.53
RPL35B,SRP19,protein-protein,0.548
RPL35B,SRP9,protein-protein,0.678
RPL35B,RPS27B,protein-protein,0.713
RPL35B,RPP3B,protein-protein,0.794
RPL35B,RPP1A,protein-protein,0.795
RPL35B,RPP2D,protein-protein,0.853
RPL36A,FFC,protein-protein,0.558
RPL36A,RAD23B,protein-protein,0.616
RPL36A,RAD23C,protein-protein,0.616
RPL36A,RAD23D,protein-protein,0.616
RPL36A,RUB2,protein-protein,0.655
RPL36A,RPS27B,protein-protein,0.682
RPL36A,PEL1,protein-protein,0.694
RPL36A,SRP19,protein-protein,0.759
RPL36A,STT3B,protein-protein,0.764
RPL36A,STT3A,protein-protein,0.769
RPL36A,SRP9,protein-protein,0.867
RPL36A,RPP2D,protein-protein,0.883
RPL36A,RPP3B,protein-protein,0.892
RPL36A,RPP1A,protein-protein,0.914
RPL28A,PEL1,protein-protein,0.526
RPL28A,FFC,protein-protein,0.57
RPL28A,RAD23D,protein-protein,0.594
RPL28A,RAD23C,protein-protein,0.597
RPL28A,RUB2,protein-protein,0.601
RPL28A,RAD23B,protein-protein,0.602
RPL28A,SRP19,protein-protein,0.786
RPL28A,RPS27B,protein-protein,0.822
RPL28A,STT3B,protein-protein,0.83
RPL28A,STT3A,protein-protein,0.832
RPL28A,SRP9,protein-protein,0.886
RPL28A,RPP3B,protein-protein,0.933
RPL28A,RPP2D,protein-protein,0.941
RPL28A,RPP1A,protein-protein,0.954
RPS17,HY2,protein-protein,0.447
RPS17,RAD23B,protein-protein,0.504
RPS17,RAD23D,protein-protein,0.506
RPS17,SRP19,protein-protein,0.514
RPS17,RAD23C,protein-protein,0.523
RPS17,SRP9,protein-protein,0.614
RPS17,PEL1,protein-protein,0.615
RPS17,RPS27B,protein-protein,0.643
RPS17,FFC,protein-protein,0.656
RPS17,RPP3B,protein-protein,0.752
RPS17,RPP2D,protein-protein,0.754
RPS17,RPP1A,protein-protein,0.794
ARP1,RAD23B,protein-protein,0.551
ARP1,RAD23C,protein-protein,0.552
ARP1,RAD23D,protein-protein,0.553
ARP1,RUB2,protein-protein,0.568
ARP1,PEL1,protein-protein,0.712
ARP1,SRP19,protein-protein,0.721
ARP1,STT3B,protein-protein,0.767
ARP1,STT3A,protein-protein,0.768
ARP1,SRP9,protein-protein,0.859
ARP1,RPP3B,protein-protein,0.929
ARP1,RPP2D,protein-protein,0.971
TUFA,FFC,protein-protein,0.417
TUFA,STT3A,protein-protein,0.576
ARP2,RAD23B,protein-protein,0.486
ARP2,RAD23D,protein-protein,0.486
ARP2,RAD23C,protein-protein,0.486
ARP2,RUB2,protein-protein,0.568
ARP2,PEL1,protein-protein,0.712
ARP2,SRP19,protein-protein,0.721
ARP2,RPS27B,protein-protein,0.739
ARP2,STT3B,protein-protein,0.763
ARP2,STT3A,protein-protein,0.763
ARP2,SRP9,protein-protein,0.86
ARP2,RPP3B,protein-protein,0.905
ARP2,RPP2D,protein-protein,0.979
ARP2,RPP1A,protein-protein,0.981
RPL15,PEL1,protein-protein,0.505
RPL15,RPS27B,protein-protein,0.508
RPL15,RAD23B,protein-protein,0.548
RPL15,RUB2,protein-protein,0.548
RPL15,RAD23D,protein-protein,0.548
RPL15,RAD23C,protein-protein,0.55
RPL15,SRP19,protein-protein,0.578
RPL15,STT3A,protein-protein,0.632
RPL15,STT3B,protein-protein,0.632
RPL15,SRP9,protein-protein,0.674
RPL15,FFC,protein-protein,0.749
RPL15,RPP3B,protein-protein,0.828
RPL15,RPP2D,protein-protein,0.847
RPL15,RPP1A,protein-protein,0.852
RPS18A,STT3B,protein-protein,0.432
RPS18A,STT3A,protein-protein,0.45
RPS18A,SRP19,protein-protein,0.585
RPS18A,RAD23B,protein-protein,0.604
RPS18A,RAD23C,protein-protein,0.604
RPS18A,RAD23D,protein-protein,0.605
RPS18A,FFC,protein-protein,0.614
RPS18A,PEL1,protein-protein,0.641
RPS18A,SRP9,protein-protein,0.671
RPS18A,RPP3B,protein-protein,0.859
RPS18A,RPP2D,protein-protein,0.874
RPS18A,RPP1A,protein-protein,0.951
RPS18A,RPS27B,protein-protein,0.965
FFC,HEME1,protein-protein,0.401
FFC,RPS26A,protein-protein,0.421
FFC,RPS24B,protein-protein,0.429
FFC,OVA4,protein-protein,0.442
FFC,RPS21C,protein-protein,0.45
FFC,RPL14B,protein-protein,0.451
FFC,EMB2369,protein-protein,0.456
FFC,RPS19C,protein-protein,0.472
FFC,EMB2768,protein-protein,0.485
FFC,OVA6,protein-protein,0.491
FFC,RPS14B,protein-protein,0.497
FFC,RPS15C,protein-protein,0.501
FFC,RPS15A,protein-protein,0.506
FFC,RPL16,protein-protein,0.517
FFC,RPL35AC,protein-protein,0.521
FFC,RPL37C,protein-protein,0.538
FFC,RPL37B,protein-protein,0.546
FFC,RPL13B,protein-protein,0.546
FFC,RPS15AE,protein-protein,0.549
FFC,RPS15AA,protein-protein,0.549
FFC,RPS12,protein-protein,0.553
FFC,RPL29,protein-protein,0.554
FFC,RPL19B,protein-protein,0.556
FFC,RPL36B,protein-protein,0.561
FFC,HEMA1,protein-protein,0.564
FFC,RPL22B,protein-protein,0.564
FFC,RPL28C,protein-protein,0.567
FFC,RPS12C,protein-protein,0.576
FFC,RPL18B,protein-protein,0.59
FFC,RPS3C,protein-protein,0.608
FFC,RPL32A,protein-protein,0.613
FFC,RPS2B,protein-protein,0.614
FFC,RPL23A,protein-protein,0.616
FFC,HLP,protein-protein,0.622
FFC,RPS7,protein-protein,0.623
FFC,rps14,protein-protein,0.641
FFC,RPS29A,protein-protein,0.644
FFC,RPL21A,protein-protein,0.644
FFC,RPL13AD,protein-protein,0.645
FFC,RPL11,protein-protein,0.651
FFC,PER7,protein-protein,0.654
FFC,RPL27AC,protein-protein,0.655
FFC,RPL13AC,protein-protein,0.66
FFC,RPL7A,protein-protein,0.662
FFC,RPL7B,protein-protein,0.678
FFC,RPS13,protein-protein,0.68
FFC,RPS20A,protein-protein,0.685
FFC,RPS9C,protein-protein,0.7
FFC,rps5,protein-protein,0.72
FFC,RPL17,protein-protein,0.726
FFC,RPS10-2,protein-protein,0.744
FFC,SCY1,protein-protein,0.964
FFC,SRP19,protein-protein,0.993
FFC,SRP9,protein-protein,0.997
RPL13B,RAD23C,protein-protein,0.601
RPL13B,RAD23D,protein-protein,0.604
RPL13B,RAD23B,protein-protein,0.609
RPL13B,RUB2,protein-protein,0.652
RPL13B,PEL1,protein-protein,0.698
RPL13B,SRP19,protein-protein,0.738
RPL13B,STT3B,protein-protein,0.768
RPL13B,STT3A,protein-protein,0.77
RPL13B,SRP9,protein-protein,0.862
RPL13B,RPP3B,protein-protein,0.912
RPL13B,RPP2D,protein-protein,0.925
RPS13,STT3B,protein-protein,0.427
RPS13,STT3A,protein-protein,0.427
RPS13,SRP19,protein-protein,0.576
RPS13,RAD23B,protein-protein,0.604
RPS13,RAD23D,protein-protein,0.61
RPS13,RAD23C,protein-protein,0.62
RPS13,PEL1,protein-protein,0.641
RPS13,SRP9,protein-protein,0.658
RPS13,RPS27B,protein-protein,0.7
RPS13,RPP2D,protein-protein,0.795
RPS13,RPP3B,protein-protein,0.802
RPS13,RPP1A,protein-protein,0.859
RPL18B,RAD23D,protein-protein,0.546
RPL18B,RAD23B,protein-protein,0.546
RPL18B,RAD23C,protein-protein,0.546
RPL18B,RUB2,protein-protein,0.604
RPL18B,PEL1,protein-protein,0.699
RPL18B,SRP19,protein-protein,0.75
RPL18B,RPS27B,protein-protein,0.754
RPL18B,STT3A,protein-protein,0.768
RPL18B,STT3B,protein-protein,0.768
RPL18B,SRP9,protein-protein,0.868
RPL18B,RPP2D,protein-protein,0.887
RPL18B,RPP3B,protein-protein,0.887
RPL18B,RPP1A,protein-protein,0.916
RPS15AA,STT3A,protein-protein,0.42
RPS15AA,SRP19,protein-protein,0.453
RPS15AA,PEL1,protein-protein,0.481
RPS15AA,RAD23B,protein-protein,0.511
RPS15AA,RAD23C,protein-protein,0.511
RPS15AA,RAD23D,protein-protein,0.513
RPS15AA,SRP9,protein-protein,0.565
RPS15AA,RPP3B,protein-protein,0.792
RPS15AA,RPP2D,protein-protein,0.822
RPS20A,STT3B,protein-protein,0.414
RPS20A,STT3A,protein-protein,0.422
RPS20A,RAD23B,protein-protein,0.626
RPS20A,RAD23C,protein-protein,0.626
RPS20A,RAD23D,protein-protein,0.632
RPS20A,SRP19,protein-protein,0.652
RPS20A,SRP9,protein-protein,0.712
RPS20A,PEL1,protein-protein,0.753
RPS20A,RPP3B,protein-protein,0.856
RPS20A,RPP2D,protein-protein,0.873
RPS20A,RPP1A,protein-protein,0.915
RPS20A,RPS27B,protein-protein,0.965
RPS4B,SRP19,protein-protein,0.445
RPS4B,PEL1,protein-protein,0.527
RPS4B,SRP9,protein-protein,0.527
RPS4B,RAD23C,protein-protein,0.545
RPS4B,RAD23B,protein-protein,0.554
RPS4B,RAD23D,protein-protein,0.554
RPS4B,RPP2D,protein-protein,0.767
RPS4B,RPP3B,protein-protein,0.778
RPS4B,RPP1A,protein-protein,0.825
RPS4B,RPS27B,protein-protein,0.896
RPS17A,STT3A,protein-protein,0.412
RPS17A,STT3B,protein-protein,0.412
RPS17A,SRP19,protein-protein,0.464
RPS17A,SRP9,protein-protein,0.538
RPS17A,RAD23B,protein-protein,0.58
RPS17A,RAD23C,protein-protein,0.582
RPS17A,RAD23D,protein-protein,0.605
RPS17A,PEL1,protein-protein,0.693
RPS17A,RPP3B,protein-protein,0.787
RPS17A,RPP2D,protein-protein,0.789
RPS17A,RPP1A,protein-protein,0.848
RPS17A,RPS27B,protein-protein,0.937
RPS26A,STT3B,protein-protein,0.414
RPS26A,STT3A,protein-protein,0.424
RPS26A,RAD23C,protein-protein,0.637
RPS26A,RAD23B,protein-protein,0.638
RPS26A,SRP19,protein-protein,0.639
RPS26A,RAD23D,protein-protein,0.642
RPS26A,PEL1,protein-protein,0.695
RPS26A,SRP9,protein-protein,0.705
RPS26A,RPP3B,protein-protein,0.859
RPS26A,RPP2D,protein-protein,0.869
RPS26A,RPP1A,protein-protein,0.906
RPS26A,RPS27B,protein-protein,0.958
RPL32A,RAD23D,protein-protein,0.66
RPL32A,RAD23B,protein-protein,0.66
RPL32A,RAD23C,protein-protein,0.66
RPL32A,RUB2,protein-protein,0.692
RPL32A,PEL1,protein-protein,0.697
RPL32A,SRP19,protein-protein,0.794
RPL32A,STT3B,protein-protein,0.839
RPL32A,STT3A,protein-protein,0.847
RPL32A,SRP9,protein-protein,0.888
RPL32A,RPP3B,protein-protein,0.944
RPL32A,RPP2D,protein-protein,0.951
RPL27AC,RAD23C,protein-protein,0.548
RPL27AC,RAD23B,protein-protein,0.548
RPL27AC,RAD23D,protein-protein,0.548
RPL27AC,RUB2,protein-protein,0.639
RPL27AC,PEL1,protein-protein,0.712
RPL27AC,SRP19,protein-protein,0.725
RPL27AC,STT3B,protein-protein,0.768
RPL27AC,STT3A,protein-protein,0.772
RPL27AC,SRP9,protein-protein,0.855
RPL27AC,RPP2D,protein-protein,0.916
RPL27AC,RPP3B,protein-protein,0.916
RPL23A,PEL1,protein-protein,0.565
RPL23A,RUB2,protein-protein,0.581
RPL23A,STT3B,protein-protein,0.626
RPL23A,SRP19,protein-protein,0.628
RPL23A,STT3A,protein-protein,0.645
RPL23A,SRP9,protein-protein,0.714
RPL23A,RPP3B,protein-protein,0.883
RPL23A,RPP2D,protein-protein,0.886
RPL23A,RPP1A,protein-protein,0.899
RPL23A,RPS27B,protein-protein,0.912
RPL17B,RAD23C,protein-protein,0.492
RPL17B,RAD23B,protein-protein,0.502
RPL17B,RAD23D,protein-protein,0.53
RPL17B,RUB2,protein-protein,0.633
RPL17B,PEL1,protein-protein,0.746
RPL17B,SRP19,protein-protein,0.816
RPL17B,STT3B,protein-protein,0.837
RPL17B,STT3A,protein-protein,0.841
RPL17B,SRP9,protein-protein,0.892
RPL17B,RPP3B,protein-protein,0.947
RPL17B,RPP2D,protein-protein,0.954
RPL26A,RAD23D,protein-protein,0.619
RPL26A,RAD23C,protein-protein,0.619
RPL26A,RAD23B,protein-protein,0.623
RPL26A,RUB2,protein-protein,0.657
RPL26A,PEL1,protein-protein,0.738
RPL26A,SRP19,protein-protein,0.811
RPL26A,STT3B,protein-protein,0.833
RPL26A,STT3A,protein-protein,0.835
RPL26A,SRP9,protein-protein,0.884
RPL26A,RPP3B,protein-protein,0.93
RPL26A,RPP2D,protein-protein,0.987
rps14,RAD23B,protein-protein,0.642
rps14,RAD23C,protein-protein,0.642
rps14,RAD23D,protein-protein,0.642
rps14,PEL1,protein-protein,0.655
rps14,SRP9,protein-protein,0.68
rps14,SRP19,protein-protein,0.691
rps14,RPS27B,protein-protein,0.703
rps14,RPP3B,protein-protein,0.813
rps14,RPP2D,protein-protein,0.813
rps14,RPP1A,protein-protein,0.879
RPL10AB,RPP3B,protein-protein,0.899
RPL10AB,RPP2D,protein-protein,0.976
RPL7B,RAD23B,protein-protein,0.528
RPL7B,RAD23C,protein-protein,0.528
RPL7B,RAD23D,protein-protein,0.531
RPL7B,RUB2,protein-protein,0.557
RPL7B,PEL1,protein-protein,0.617
RPL7B,SRP19,protein-protein,0.655
RPL7B,STT3B,protein-protein,0.709
RPL7B,STT3A,protein-protein,0.714
RPL7B,SRP9,protein-protein,0.803
RPL7B,RPP3B,protein-protein,0.883
RPL7B,RPP2D,protein-protein,0.883
RPS12,SRP19,protein-protein,0.435
RPS12,RAD23C,protein-protein,0.51
RPS12,RAD23B,protein-protein,0.51
RPS12,RAD23D,protein-protein,0.51
RPS12,SRP9,protein-protein,0.563
RPS12,RPS27B,protein-protein,0.613
RPS12,PEL1,protein-protein,0.629
RPS12,RPP2D,protein-protein,0.732
RPS12,RPP3B,protein-protein,0.732
RPS12,RPP1A,protein-protein,0.766
RPS7,STT3B,protein-protein,0.408
RPS7,STT3A,protein-protein,0.408
RPS7,SRP19,protein-protein,0.49
RPS7,RAD23B,protein-protein,0.545
RPS7,RAD23D,protein-protein,0.545
RPS7,RAD23C,protein-protein,0.545
RPS7,PEL1,protein-protein,0.578
RPS7,SRP9,protein-protein,0.62
RPS7,RPS27B,protein-protein,0.627
RPS7,RPP3B,protein-protein,0.752
RPS7,RPP2D,protein-protein,0.752
RPS7,RPP1A,protein-protein,0.798
RPL24,RAD23C,protein-protein,0.619
RPL24,RAD23B,protein-protein,0.619
RPL24,RUB2,protein-protein,0.619
RPL24,RAD23D,protein-protein,0.619
RPL24,PEL1,protein-protein,0.633
RPL24,RPS27B,protein-protein,0.645
RPL24,SRP19,protein-protein,0.71
RPL24,STT3A,protein-protein,0.764
RPL24,STT3B,protein-protein,0.764
RPL24,SRP9,protein-protein,0.825
RPL24,RPP2D,protein-protein,0.889
RPL24,RPP1A,protein-protein,0.905
RPL24,RPP3B,protein-protein,0.91
rps5,SRP19,protein-protein,0.513
rps5,SRP9,protein-protein,0.614
rps5,PEL1,protein-protein,0.617
rps5,RPS27B,protein-protein,0.626
rps5,RPP3B,protein-protein,0.744
rps5,RPP2D,protein-protein,0.746
rps5,RPP1A,protein-protein,0.798
RPS15A,STT3B,protein-protein,0.448
RPS15A,STT3A,protein-protein,0.454
RPS15A,SRP19,protein-protein,0.49
RPS15A,RAD23C,protein-protein,0.546
RPS15A,RAD23B,protein-protein,0.549
RPS15A,RAD23D,protein-protein,0.559
RPS15A,PEL1,protein-protein,0.612
RPS15A,SRP9,protein-protein,0.617
RPS15A,RPP3B,protein-protein,0.799
RPS15A,RPP2D,protein-protein,0.875
SCY1,RAD23B,protein-protein,0.495
SCY1,RAD23D,protein-protein,0.495
SCY1,SRP19,protein-protein,0.512
SCY1,RAD23C,protein-protein,0.514
SCY1,PEL1,protein-protein,0.617
SCY1,RPS27B,protein-protein,0.624
SCY1,SRP9,protein-protein,0.703
SCY1,RPP3B,protein-protein,0.744
SCY1,RPP2D,protein-protein,0.744
SCY1,RPP1A,protein-protein,0.789
RPS21C,STT3B,protein-protein,0.526
RPS21C,STT3A,protein-protein,0.526
RPS21C,RAD23B,protein-protein,0.694
RPS21C,RAD23C,protein-protein,0.696
RPS21C,RAD23D,protein-protein,0.698
RPS21C,SRP19,protein-protein,0.701
RPS21C,PEL1,protein-protein,0.803
RPS21C,SRP9,protein-protein,0.86
RPS21C,RPP2D,protein-protein,0.907
RPS21C,RPP3B,protein-protein,0.911
RPS21C,RPP1A,protein-protein,0.951
RPS21C,RPS27B,protein-protein,0.98
RPL21A,RAD23C,protein-protein,0.678
RPL21A,RAD23D,protein-protein,0.678
RPL21A,RAD23B,protein-protein,0.679
RPL21A,RUB2,protein-protein,0.701
RPL21A,PEL1,protein-protein,0.786
RPL21A,SRP19,protein-protein,0.812
RPL21A,RPS27B,protein-protein,0.82
RPL21A,STT3B,protein-protein,0.84
RPL21A,STT3A,protein-protein,0.849
RPL21A,SRP9,protein-protein,0.885
RPL21A,RPP3B,protein-protein,0.945
RPL21A,RPP2D,protein-protein,0.951
RPL21A,RPP1A,protein-protein,0.969
RPL37B,RAD23C,protein-protein,0.575
RPL37B,RAD23D,protein-protein,0.575
RPL37B,RAD23B,protein-protein,0.582
RPL37B,RUB2,protein-protein,0.634
RPL37B,PEL1,protein-protein,0.654
RPL37B,RPS27B,protein-protein,0.66
RPL37B,SRP19,protein-protein,0.715
RPL37B,STT3B,protein-protein,0.769
RPL37B,STT3A,protein-protein,0.776
RPL37B,SRP9,protein-protein,0.851
RPL37B,RPP3B,protein-protein,0.913
RPL37B,RPP2D,protein-protein,0.924
RPL37B,RPP1A,protein-protein,0.945
RPS29A,RAD23C,protein-protein,0.642
RPS29A,RAD23D,protein-protein,0.642
RPS29A,RAD23B,protein-protein,0.642
RPS29A,SRP19,protein-protein,0.822
RPS29A,SRP9,protein-protein,0.881
RPS29A,PEL1,protein-protein,0.885
RPS29A,RPP3B,protein-protein,0.959
RPS29A,RPP2D,protein-protein,0.967
RPS29A,RPP1A,protein-protein,0.979
RPS29A,RPS27B,protein-protein,0.986
RAD23D,OVA3,protein-protein,0.42
RAD23D,VTE1,protein-protein,0.428
RAD23D,RPL11,protein-protein,0.44
RAD23D,RPL4A,protein-protein,0.465
RAD23D,RPL27B,protein-protein,0.479
RAD23D,RPL3B,protein-protein,0.486
RAD23D,RPL14B,protein-protein,0.49
RAD23D,RPS2B,protein-protein,0.495
RAD23D,RPL10,protein-protein,0.498
RAD23D,RPL29,protein-protein,0.498
RAD23D,RPP2D,protein-protein,0.506
